Fecha,Casos_Diagnostico,Casos_Recuperado,Casos_Muerte,Casos_Activos,Tasa_Contagio,Tasa_Recuperacion,Tasa_Muerte,Pais,Ciudad
2020/03/09,1.0,0.0,0.0,1.0,,,,Colombia,Medellín
2020/03/11,3.0,0.0,0.0,3.0,2.0000008430533875,0.0,0.0,Colombia,Medellín
2020/03/14,5.0,0.0,0.0,5.0,0.666667509720765,0.0,0.0,Colombia,Medellín
2020/03/15,6.0,1.0,0.0,5.0,0.20000042152740455,0.2,0.0,Colombia,Medellín
2020/03/19,9.0,1.0,0.0,8.0,0.6000015174992961,0.0,0.0,Colombia,Medellín
2020/03/20,16.0,1.0,0.0,15.0,0.875003319533908,0.0,0.0,Colombia,Medellín
2020/03/21,17.0,1.0,0.0,16.0,0.06666711629798304,0.0,0.0,Colombia,Medellín
2020/03/22,19.0,1.0,0.0,18.0,0.12500089575026566,0.0,0.0,Colombia,Medellín
2020/03/23,32.0,3.0,0.0,29.0,0.7222280065490757,0.1111111111111111,0.0,Colombia,Medellín
2020/03/25,38.0,6.0,0.0,32.0,0.20689934255802775,0.10344827586206896,0.0,Colombia,Medellín
2020/03/28,42.0,11.0,0.0,31.0,0.1250020022830242,0.15625,0.0,Colombia,Medellín
2020/03/29,50.0,18.0,0.0,32.0,0.25806908501344994,0.22580645161290322,0.0,Colombia,Medellín
2020/03/30,58.0,24.0,0.0,34.0,0.25000526919250676,0.1875,0.0,Colombia,Medellín
2020/03/31,62.0,29.0,0.0,33.0,0.11764993519243305,0.14705882352941177,0.0,Colombia,Medellín
2020/04/01,63.0,34.0,0.0,29.0,0.03030382228263749,0.15151515151515152,0.0,Colombia,Medellín
2020/04/02,73.0,36.0,0.0,37.0,0.34483674375026374,0.06896551724137931,0.0,Colombia,Medellín
2020/04/03,84.0,40.0,1.0,43.0,0.297306445843472,0.10810810810810811,0.02702702702702703,Colombia,Medellín
2020/04/04,86.0,44.0,1.0,41.0,0.04651327485958798,0.09302325581395349,0.0,Colombia,Medellín
2020/04/05,95.0,48.0,1.0,46.0,0.21952015300856847,0.0975609756097561,0.0,Colombia,Medellín
